cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
28,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
28,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
29,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
29,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
30,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
30,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
30,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
30,surgery_microquench,3.24835041502893884e-04,-1.10857538825533120e-03,-1.52902648943521735e-03,1.49904715223642127e-03,1.63115447405866310e-03,-6.88459180608680561e-03,1
31,shape,-1.38777878078144568e-17,-3.34056932133364182e-03,-2.36695973013073546e-03,0.00000000000000000e+00,0.00000000000000000e+00,-2.26240392803606430e-04,1
31,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
32,shape,0.00000000000000000e+00,-1.15862645433116584e-03,-7.53745055397062047e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.22665808376688605e-03,1
32,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
33,shape,0.00000000000000000e+00,-8.05670499540764307e-04,-5.11485319067514488e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.18994945788173170e-03,1
33,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
34,shape,0.00000000000000000e+00,-7.04065515583648938e-04,-4.38343182519576602e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.26030863630080189e-03,1
34,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
35,shape,0.00000000000000000e+00,-7.04065515583648938e-04,-4.38343182519576602e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.26030863630080189e-03,1
35,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
35,box,-3.24835041502900823e-04,-1.86778404311695179e-03,-9.04807421126113676e-04,-1.49904715223642127e-03,-1.63115447405866310e-03,8.78440585099960966e-04,1
36,shape,2.08166817117216851e-17,-7.15192835472361343e-04,-4.46840114364147056e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.21960630570319174e-03,1
36,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
37,shape,-1.38777878078144568e-17,-6.52553244481296479e-04,-4.04128158273286964e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.28110771890077579e-03,1
37,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
38,shape,-1.38777878078144568e-17,-6.52553244481296479e-04,-4.04128158273286964e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.28110771890077579e-03,1
38,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
39,shape,-1.38777878078144568e-17,-6.52553244481296479e-04,-4.04128158273286964e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.28110771890077579e-03,1
39,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
40,shape,-1.38777878078144568e-17,-6.52553244481296479e-04,-4.04128158273286964e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.28110771890077579e-03,1
40,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
