cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
34,3.24219230486763113e-02,1.08519498824287075e-01,5.96246829441900994e-02,1.08889760767674718e-01,4.35629084733506533e-01,8.56284272392151848e+01,1.21169004520960202e-01,4.61307871861395435e-01,1.03057204647965077e-02,4.16783424220021903e-02,3.96963159897474416e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
35,3.23457032920590817e-02,1.07176348220641385e-01,5.92998479026871986e-02,1.06317911208974117e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.24444696861972705e-02,4.16907468473632914e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,1,0
36,3.26523782129783252e-02,1.06729508106277238e-01,5.92998479026872194e-02,1.05602718373501755e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.36640759919004623e-02,4.50664986556355007e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
37,3.26523782129783252e-02,1.06729508106277238e-01,5.92998479026872194e-02,1.05602718373501755e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.36640759919004623e-02,4.50664986556355007e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
38,3.26523782129783252e-02,1.06729508106277238e-01,5.92998479026872194e-02,1.05602718373501755e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.36640759919004623e-02,4.50664986556355007e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
39,3.26523782129783252e-02,1.06729508106277238e-01,5.92998479026872194e-02,1.05602718373501755e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.36640759919004623e-02,4.50664986556355007e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
40,3.30181381378997774e-02,1.06325379948003951e-01,5.92998479026872055e-02,1.04950165129020459e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.49451837108012381e-02,4.80981906746449361e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,1,1
41,3.33918858672467289e-02,1.05988960769714036e-01,5.92998479026872194e-02,1.04400280918889962e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.61531531881572155e-02,5.06281320186083850e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
42,3.37674392600460574e-02,1.05699186078649629e-01,5.92998479026871916e-02,1.03920610109053027e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.73039617757771887e-02,5.28105741007134366e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
43,3.41481869758899978e-02,1.05441091315463933e-01,5.92998479026872055e-02,1.03485660448026540e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.84263023557593476e-02,5.47715327347899628e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
44,3.45446475405713702e-02,1.05197672975791356e-01,5.92998479026872055e-02,1.03073410442387228e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,1.95598393976797839e-02,5.66137053637458809e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
45,3.49526663132589677e-02,1.04968728598831954e-01,5.92998479026872055e-02,1.02682002303633696e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.06980143156205235e-02,5.83459553866092495e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,1,0
46,3.53680824423901821e-02,1.04752701398346290e-01,5.92998479026872055e-02,1.02310223784546350e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.18336933988408748e-02,5.99763654440086391e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
47,3.57897724178440207e-02,1.04547853502993268e-01,5.92998479026871986e-02,1.01960187426535440e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.29630816329074276e-02,6.15123174027587538e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
48,3.57897724178440207e-02,1.04547853502993268e-01,5.92998479026871986e-02,1.01960187426535440e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.29630816329074276e-02,6.15123174027587538e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
49,3.57897724178440207e-02,1.04547853502993268e-01,5.92998479026871986e-02,1.01960187426535440e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.29630816329074276e-02,6.15123174027587538e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
50,3.62139820074898686e-02,1.04354428567090055e-01,5.92998479026872194e-02,1.01627641367573046e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.40823101326718796e-02,6.29605630583973674e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,1,1
51,3.66570937885404360e-02,1.04162600416451048e-01,5.92998479026872055e-02,1.01296975204113363e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.52369349125061704e-02,6.43874824732852957e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
52,3.70984448741993253e-02,1.03981491537560547e-01,5.92998479026872055e-02,1.00982140177565211e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.63743752864692566e-02,6.57340749739816488e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
53,3.75560398348525684e-02,1.03802130483866897e-01,5.92998479026872055e-02,1.00668977301126117e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.75421637837228901e-02,6.70616647789543663e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
54,3.80090676704631092e-02,1.03631529107428580e-01,5.92998479026872055e-02,1.00370693681329753e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.86880868180772255e-02,6.83155670306323515e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
55,3.80090676704631092e-02,1.03631529107428580e-01,5.92998479026872055e-02,1.00370693681329753e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.86880868180772255e-02,6.83155670306323515e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,1,0
