cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
100,shape,1.38777878078144568e-17,-2.42684814999116760e-04,-1.62530661661976217e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.01381355521645933e-03,1
100,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
100,box,-6.93889390390722838e-18,-4.50244758092716024e-06,-2.82566204282824751e-06,0.00000000000000000e+00,0.00000000000000000e+00,4.28899562088247421e-07,1
100,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
101,shape,2.77555756156289135e-17,-2.11506333701129423e-04,-1.50081298195964274e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.74881065556298232e-03,1
101,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
102,shape,1.38777878078144568e-17,-1.91244047050405375e-04,-1.34183992357234105e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.51597464382230429e-03,1
102,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
103,shape,1.38777878078144568e-17,-1.91244047050405375e-04,-1.34183992357234105e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.51597464382230429e-03,1
103,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
104,shape,-2.77555756156289135e-17,-1.75117098261096116e-04,-1.20414826433198896e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.32303657099325234e-03,1
104,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
105,shape,1.38777878078144568e-17,-1.61371279736893802e-04,-1.09271340319114230e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.16256446557500004e-03,1
105,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
105,box,-4.16333634234433703e-17,-3.72624593605180854e-06,-2.44228035528593068e-06,0.00000000000000000e+00,0.00000000000000000e+00,-2.90144784254042776e-07,1
106,shape,3.46944695195361419e-17,-1.51656383474974010e-04,-1.00934263905241850e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.04131766477516541e-03,1
106,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
107,shape,-2.08166817117216851e-17,-1.38491424767649141e-04,-9.51251116652201967e-05,0.00000000000000000e+00,0.00000000000000000e+00,9.36317659980756556e-04,1
107,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
108,shape,-1.38777878078144568e-17,-1.26902835353479015e-04,-8.71508809880822133e-05,0.00000000000000000e+00,0.00000000000000000e+00,8.39798472842046007e-04,1
108,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
109,shape,1.38777878078144568e-17,-1.18069512476087768e-04,-7.89118079828760033e-05,0.00000000000000000e+00,0.00000000000000000e+00,7.55922746589698935e-04,1
109,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
110,shape,2.77555756156289135e-17,-1.10957828899055366e-04,-7.45243942710180352e-05,0.00000000000000000e+00,0.00000000000000000e+00,6.85179603798768966e-04,1
110,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
110,box,0.00000000000000000e+00,-2.28006988312740022e-06,-9.66591311803155495e-07,0.00000000000000000e+00,0.00000000000000000e+00,-1.62637025091783016e-06,1
110,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
111,shape,2.08166817117216851e-17,-1.02971124843247164e-04,-7.07582930538838695e-05,0.00000000000000000e+00,0.00000000000000000e+00,6.14321109549509359e-04,1
111,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
112,shape,-3.46944695195361419e-17,-9.64913195425007308e-05,-6.67769491973779772e-05,0.00000000000000000e+00,0.00000000000000000e+00,5.51321609905064403e-04,1
112,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
113,shape,0.00000000000000000e+00,-9.04894074752263244e-05,-6.33929841897459823e-05,0.00000000000000000e+00,0.00000000000000000e+00,4.95439164031719059e-04,1
113,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
114,shape,-1.38777878078144568e-17,-8.35333382597086560e-05,-5.84658692486111908e-05,0.00000000000000000e+00,0.00000000000000000e+00,4.45661771542538165e-04,1
114,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
115,shape,2.77555756156289135e-17,-7.76319147795939690e-05,-5.55543607686989627e-05,0.00000000000000000e+00,0.00000000000000000e+00,4.06806953046678910e-04,1
115,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
115,box,-2.77555756156289135e-17,-1.08502888541278653e-06,-7.52201726704482265e-07,0.00000000000000000e+00,0.00000000000000000e+00,-1.97340100505094540e-06,1
116,shape,-1.38777878078144568e-17,-7.23979267879260036e-05,-5.10029821524093929e-05,0.00000000000000000e+00,0.00000000000000000e+00,3.81455962615739885e-04,1
116,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
117,shape,2.77555756156289135e-17,-6.85475824341238993e-05,-4.81463167548157323e-05,0.00000000000000000e+00,0.00000000000000000e+00,3.60416614465841612e-04,1
117,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
118,shape,6.93889390390722838e-18,-6.41332927813348386e-05,-4.57046603190708334e-05,0.00000000000000000e+00,0.00000000000000000e+00,3.37338222580585434e-04,1
118,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
119,shape,-2.08166817117216851e-17,-5.96489020479457066e-05,-4.36258298606925776e-05,0.00000000000000000e+00,0.00000000000000000e+00,3.16731489191590665e-04,1
119,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
