cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
24,1.63160880189557773e-02,7.64420773045855206e-02,4.51604846175458069e-02,6.66855019226065548e-02,3.29404475492097892e-01,5.50870879442422989e+01,9.63630336422314354e-02,3.46640815813840264e-01,1.07654126294485231e-01,1.16608123778492612e-01,3.99951637662866810e+00,3.26244258071948607e+01,3.30062605926920938e+01,0.00000000000000000e+00,1,0,0
25,1.63011916289882777e-02,7.60537497948345215e-02,4.51604846175458069e-02,6.60019511701906425e-02,3.29404475492097892e-01,5.50870879448059441e+01,9.63630336417034272e-02,3.46640815817908732e-01,1.10984142831044463e-01,1.18359266264697283e-01,3.99951637662866810e+00,3.26103329816096306e+01,3.30205245216748366e+01,0.00000000000000000e+00,1,1,0
26,1.62934057197385365e-02,7.56888575367652555e-02,4.51604846175458208e-02,6.53533482630067469e-02,3.29404475492097892e-01,5.50870879448059441e+01,9.63630336417034272e-02,3.46640815817908732e-01,1.14236321809505020e-01,1.19406787267939407e-01,3.99951637662866810e+00,3.26103329816096306e+01,3.30205245216748366e+01,0.00000000000000000e+00,1,0,0
27,1.62881562563051731e-02,7.53294829134878996e-02,4.51604846175458624e-02,6.47137926588713663e-02,3.29404475492097892e-01,5.50870879448059441e+01,9.63630336417034272e-02,3.46640815817908732e-01,1.17458739296455811e-01,1.20407512654810978e-01,3.99951637662866810e+00,3.26103329816096306e+01,3.30205245216748366e+01,0.00000000000000000e+00,1,0,0
28,1.62856075743482605e-02,7.49693892747190366e-02,4.51604846175458485e-02,6.40749791174534816e-02,3.29404475492097892e-01,5.50870879448059441e+01,9.63630336417034272e-02,3.46640815817908732e-01,1.20698646113049313e-01,1.21378020157028699e-01,3.99951637662866810e+00,3.26103329816096306e+01,3.30205245216748366e+01,0.00000000000000000e+00,1,0,0
29,1.62866323847738539e-02,7.46158517667619564e-02,4.51604846175458416e-02,6.34486117341841599e-02,3.29404475492097892e-01,5.50870879448059441e+01,9.63630336417034272e-02,3.46640815817908732e-01,1.23914207037835095e-01,1.22304990059956431e-01,3.99951637662866810e+00,3.26103329816096306e+01,3.30205245216748366e+01,0.00000000000000000e+00,1,0,0
30,1.62905550208103413e-02,7.42516896708196178e-02,4.51604846175458138e-02,6.28126996850678493e-02,3.29404475492097892e-01,5.50870879463093956e+01,9.63630336412744509e-02,3.46640815830983828e-01,1.27204303329314039e-01,1.23588321803385304e-01,3.99951637662866810e+00,3.26021812835104612e+01,3.30287808203757152e+01,0.00000000000000000e+00,1,1,1
31,1.62990591354989986e-02,7.39009509460897690e-02,4.51604846175458138e-02,6.21958836504195173e-02,3.29404475492097892e-01,5.50870879463093956e+01,9.63630336412744509e-02,3.46640815830983828e-01,1.30458677569887216e-01,1.24457175483452476e-01,3.99951637662866810e+00,3.26021812835104612e+01,3.30287808203757152e+01,0.00000000000000000e+00,1,0,0
32,1.63094435257332554e-02,7.35554540779389254e-02,4.51604846175458277e-02,6.15869039253839692e-02,3.29404475492097892e-01,5.50870879463093956e+01,9.63630336412744509e-02,3.46640815830983828e-01,1.33681613692254203e-01,1.25286638252130933e-01,3.99951637662866810e+00,3.26021812835104612e+01,3.30287808203757152e+01,0.00000000000000000e+00,1,0,0
33,1.63236453915811368e-02,7.32095688645433146e-02,4.51604846175458208e-02,6.09832462773780976e-02,3.29404475492097892e-01,5.50870879463093956e+01,9.63630336412744509e-02,3.46640815830983828e-01,1.36925267352696889e-01,1.26091660139800776e-01,3.99951637662866810e+00,3.26021812835104612e+01,3.30287808203757152e+01,0.00000000000000000e+00,1,0,0
