phi,seed,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,valid_torus,degree_radius_corr,regime
9.00000000000000022e-01,2,9.62133969607801148e-02,6.43158158187835394e-02,9.87169224702881265e-02,4.73281218784025626e-01,7.35965617188507508e+01,1.31108563246044807e-01,3.52914394972292822e-01,8.24427882706496806e-01,1.35488513119457199e-01,1,8.33059126077699053e-01,high_sum_high_shape
9.10000000000000031e-01,2,1.00796604325218517e-01,6.93909179608380861e-02,1.00777082522311170e-01,4.87264442945201492e-01,9.82775389731957318e+01,1.35996254421213186e-01,4.83349018321066914e-01,1.32960391291890145e+00,1.68203756520006298e-01,1,8.39310930177548764e-01,high_sum_high_shape
9.20000000000000040e-01,2,9.14744521722667264e-02,6.09220209673462035e-02,9.02157788813413436e-02,4.37562473934101082e-01,7.94940967937184269e+01,1.21749463316185191e-01,4.25317093978751615e-01,1.56496333996604720e+00,2.46218379610720906e-01,1,8.63127355672000163e-01,high_sum_high_shape
8.19999999999999951e-01,3,1.46575506980920200e-01,9.48480801579478922e-02,1.35225425199642313e-01,6.87133295425097712e-01,1.50610944121388968e+02,1.81380435943126722e-01,5.78481849803070491e-01,4.35034413016954069e-14,4.11606158046140536e-08,1,6.97610108296978781e-01,high_sum_high_shape
8.29999999999999960e-01,3,1.35273555916396032e-01,7.55116365697118125e-02,1.30277581199847781e-01,5.46944668670106160e-01,1.11284453674153042e+02,1.55413003462899435e-01,4.86012132273991315e-01,2.96241672699904113e-13,1.05995296317829002e-07,1,7.79465958573294926e-01,high_sum_high_shape
8.39999999999999969e-01,3,1.18923095245168864e-01,7.37116462800783828e-02,1.16389856317286711e-01,5.33546158784611757e-01,9.38617851681682964e+01,1.40167351337110585e-01,4.45958989032461339e-01,1.98900001435430594e-05,8.95471618109322520e-04,1,7.97079708599595760e-01,high_sum_high_shape
8.49999999999999978e-01,3,1.10224483264721271e-01,6.56028174334508107e-02,1.11948444972040359e-01,4.96299204419015927e-01,1.25498399970633017e+02,1.35681810044839979e-01,6.09172980176017398e-01,6.60294511141662054e-03,1.54065394421789570e-02,1,8.13765074332295391e-01,high_sum_high_shape
8.59999999999999987e-01,3,1.03559928145489630e-01,6.84510818652148550e-02,1.04474109195964948e-01,4.89410750548460283e-01,1.00092113794915420e+02,1.36588074765105427e-01,4.90348598669555102e-01,4.77218745121543650e-02,3.68420561601401353e-02,1,8.18356722174452211e-01,high_sum_high_shape
8.69999999999999996e-01,3,1.01238682137507516e-01,6.94816022609354711e-02,1.01677309772339214e-01,4.95600741302268832e-01,9.15746214644372003e+01,1.35571558062222819e-01,4.48840661328984647e-01,1.52582694202794411e-01,6.62263516780106087e-02,1,8.28225135602234541e-01,high_sum_high_shape
8.80000000000000004e-01,3,1.04120272038973560e-01,5.97963250152919457e-02,1.05642333375118982e-01,4.43522590449317189e-01,8.93404550418226222e+01,1.24167412968457805e-01,4.71927747836821287e-01,3.65028672018017364e-01,1.07995648040394965e-01,1,8.03237163229532203e-01,high_sum_high_shape
8.90000000000000013e-01,3,1.02251874150605479e-01,6.47365575359204332e-02,1.01829507520789245e-01,4.70735715347314621e-01,8.87544492149683037e+01,1.32898496678228561e-01,4.41680708207803807e-01,5.85760063888387417e-01,1.09187352935321336e-01,1,8.32015910714792195e-01,high_sum_high_shape
9.00000000000000022e-01,3,8.89272162468341953e-02,6.07707393677348814e-02,8.68497678229863262e-02,4.50796563478599810e-01,8.13176298620141438e+01,1.15256756630035082e-01,4.55148050108643398e-01,7.37794617506045580e-01,1.49865060542653250e-01,1,8.54886518454688105e-01,high_sum_high_shape
9.10000000000000031e-01,3,9.06541634737134533e-02,6.37900749809339335e-02,9.03302963298508316e-02,4.68815262827345425e-01,8.39077727441471239e+01,1.25576616966864618e-01,4.38617288693890606e-01,1.20075378981991143e+00,1.64793272697610682e-01,1,8.39105500374592417e-01,high_sum_high_shape
9.20000000000000040e-01,3,8.87931334934900646e-02,5.83338825283322843e-02,9.05974837791940074e-02,4.21444484415051779e-01,6.94649565916668337e+01,1.17161629143912940e-01,3.78194410939995174e-01,1.57046657411368717e+00,2.05090052342771445e-01,1,8.75603599022673817e-01,high_sum_high_shape
8.19999999999999951e-01,4,1.51571040955661290e-01,8.71754577800382263e-02,1.43286566504375740e-01,6.33831273741329193e-01,1.20183517404382528e+02,1.71411297290363362e-01,4.71394973495658454e-01,3.35868476069747682e-13,1.16511505332539400e-07,1,7.74160950499941158e-01,high_sum_high_shape
