cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
147,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
148,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
148,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
149,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
149,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
150,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
150,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
150,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
150,surgery_microquench,6.59643654651542732e-04,-1.19783980029737613e-03,-1.69447128884236964e-03,4.36857265327295075e-03,2.36536802467053608e-03,-2.06226989494315491e-02,1
151,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
151,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
152,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
152,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
153,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
153,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
154,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
154,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
155,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
155,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
155,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
156,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
156,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
157,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
157,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
158,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
158,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
159,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
159,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
160,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
160,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
160,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
160,surgery_microquench,6.59643654651542732e-04,-1.19783980029737613e-03,-1.69447128884236964e-03,4.36857265327295075e-03,2.36536802467053608e-03,-2.06226989494315491e-02,1
161,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
161,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
162,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
162,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
163,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
163,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
164,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
164,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
165,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
165,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
165,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
166,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
166,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
167,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
167,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
168,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
168,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
169,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
169,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
170,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
170,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
170,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
170,surgery_microquench,6.59643654651542732e-04,-1.19783980029737613e-03,-1.69447128884236964e-03,4.36857265327295075e-03,2.36536802467053608e-03,-2.06226989494315491e-02,1
171,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
171,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
172,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
172,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
173,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
173,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
174,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
174,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
175,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
175,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
175,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
176,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
176,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
177,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
177,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
178,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
